Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [m/s^2/N] - Frekv. prenosna funkcija	
494	-31,5915	
495	-31,7256	
496	-31,8532	
497	-31,9778	
498	-32,1275	
499	-32,2719	
500	-32,4309	
501	-32,57	
502	-32,7435	
503	-32,9241	
504	-33,0944	
505	-33,2754	
506	-33,4637	
507	-33,6987	
508	-33,9037	
509	-34,1046	
510	-34,342	
511	-34,5785	
512	-34,8426	
513	-35,1083	
514	-35,4029	
515	-35,7343	
516	-36,0612	
517	-36,3894	
518	-36,7582	
519	-37,1813	
520	-37,5379	
521	-38,0027	
522	-38,5245	
523	-38,919	
524	-39,5853	
525	-40,1815	
526	-40,9001	
527	-41,6296	
528	-42,5509	
529	-43,5765	
530	-44,6535	
531	-46,1333	
532	-47,6997	
533	-50,0868	
534	-52,9666	
535	-56,7706	
536	-62,9811	
537	-60,4772	
538	-54,4366	
539	-50,5096	
540	-47,7494	
541	-45,6008	
542	-43,847	
543	-42,2614	
544	-40,9717	
545	-39,8041	
546	-38,7764	
547	-37,7565	
548	-36,863	
549	-36,0079	
550	-35,2265	
551	-34,471	
552	-33,6978	
553	-33,0279	
554	-32,3776	
555	-31,7788	
556	-31,1666	
557	-30,5792	
558	-30,0214	
559	-29,4776	
560	-28,936	
561	-28,4078	
562	-27,8862	
563	-27,3811	
564	-26,8898	
565	-26,4285	
566	-25,9505	
567	-25,4622	
568	-24,9917	
569	-24,5193	
570	-24,0387	
571	-23,571	
572	-23,0957	
573	-22,6357	
574	-22,1749	
575	-21,7185	
576	-21,243	
577	-20,7694	
578	-20,2915	
579	-19,8249	
580	-19,3685	
581	-18,9105	
582	-18,4359	
583	-17,9513	
584	-17,4676	
585	-16,975	
586	-16,4695	
587	-15,9645	
588	-15,4573	
589	-14,9358	
590	-14,3895	
591	-13,8137	
592	-13,2292	
593	-12,6625	
594	-12,0767	
595	-11,4663	
596	-10,8053	
597	-10,1207	
598	-9,38165	
599	-8,61356	
600	-7,80882	
601	-6,97222	
602	-6,12766	
603	-5,23604	
604	-4,25635	
605	-3,12853	
606	-1,86787	
607	-0,495319	
608	1,07883	
609	2,83548	
610	5,10115	
611	7,74389	
612	11,335	
613	16,0435	
614	18,6839	
615	12,3929	
616	8,07352	
617	5,22071	
618	3,14612	
619	1,5494	
620	0,445846	
621	-0,543987	
622	-1,51411	
623	-2,44145	
624	-3,15349	
625	-3,68767	
626	-4,2306	
627	-4,78598	
628	-5,2502	
629	-5,68426	
630	-6,13737	
631	-6,5644	
632	-6,93624	
633	-7,2617	
634	-7,57195	
635	-7,88786	
636	-8,18321	
637	-8,45302	
638	-8,70245	
639	-8,94165	
640	-9,17157	
641	-9,38594	
642	-9,59156	
643	-9,7911	
644	-9,9777	
645	-10,1475	
646	-10,3051	
647	-10,4481	
648	-10,5726	
649	-10,6825	
650	-10,7984	
651	-10,9318	
652	-11,0852	
653	-11,2516	
654	-11,4178	
655	-11,573	
656	-11,7145	
657	-11,8492	
658	-11,9702	
659	-12,0846	
660	-12,1935	
661	-12,2955	
662	-12,396	
663	-12,4895	
664	-12,577	
665	-12,6612	
666	-12,7469	
667	-12,8257	
668	-12,9046	
669	-12,9815	
670	-13,0516	
671	-13,1262	
672	-13,1923	
673	-13,2556	
674	-13,3187	
675	-13,3841	
676	-13,4515	
677	-13,5008	
678	-13,5604	
679	-13,6116	
680	-13,6668	
681	-13,7187	
682	-13,7698	
683	-13,8193	
684	-13,8626	
685	-13,9103	
686	-13,9494	
687	-13,9904	
688	-14,0327	
689	-14,069	
690	-14,1145	
691	-14,1564	
692	-14,1915	
693	-14,2213	
694	-14,2562	
695	-14,2849	
696	-14,3237	
697	-14,3537	
698	-14,3882	
699	-14,4231	
700	-14,4568	
701	-14,4832	
702	-14,5135	
703	-14,5412	
704	-14,5658	
705	-14,5968	
706	-14,6264	
707	-14,6469	
708	-14,6743	
709	-14,6945	
710	-14,7145	
711	-14,738	
712	-14,7611	
713	-14,7823	
714	-14,8024	
715	-14,8251	
716	-14,8414	
717	-14,8567	
718	-14,8757	
719	-14,8923	
720	-14,9089	
721	-14,9188	
722	-14,9307	
723	-14,9461	
724	-14,9633	
725	-14,9779	
726	-14,9916	
727	-15,0042	
728	-15,0152	
729	-15,0208	
730	-15,0282	
731	-15,0396	
732	-15,0594	
733	-15,0753	
734	-15,0897	
735	-15,0913	
736	-15,0951	
737	-15,0986	
738	-15,1092	
739	-15,115	
740	-15,1295	
741	-15,1301	
742	-15,1379	
743	-15,1456	
744	-15,1489	
745	-15,1534	
746	-15,1598	
747	-15,1684	
748	-15,1794	
749	-15,1973	
750	-15,219	
751	-15,248	
752	-15,2665	
753	-15,2597	
754	-15,2358	
755	-15,2191	
756	-15,2036	
757	-15,1972	
758	-15,189	
759	-15,1866	
760	-15,1838	
761	-15,1813	
762	-15,1775	
763	-15,18	
764	-15,1794	
765	-15,1797	
766	-15,1753	
767	-15,1753	
768	-15,1726	
769	-15,1691	
770	-15,1633	
771	-15,1588	
772	-15,1517	
773	-15,1478	
774	-15,1478	
775	-15,1462	
776	-15,1394	
777	-15,1331	
778	-15,128	
779	-15,1232	
780	-15,118	
781	-15,1117	
782	-15,1083	
783	-15,105	
784	-15,0967	
785	-15,0928	
786	-15,085	
787	-15,072	
788	-15,0601	
789	-15,046	
790	-15,042	
791	-15,0369	
792	-15,0237	
793	-15,0039	
794	-14,9942	
795	-14,9907	
796	-15,0024	
797	-15,0041	
798	-14,9932	
799	-14,9669	
800	-14,9413	
801	-14,9258	
802	-14,9084	
803	-14,898	
804	-14,8854	
805	-14,8663	
806	-14,8452	
807	-14,8295	
808	-14,8164	
809	-14,8045	
810	-14,7821	
811	-14,7638	
812	-14,7498	
813	-14,7338	
814	-14,7203	
815	-14,7003	
816	-14,6844	
817	-14,6734	
818	-14,6634	
819	-14,647	
820	-14,6284	
821	-14,6082	
822	-14,5904	
823	-14,574	
824	-14,553	
825	-14,5339	
826	-14,5191	
827	-14,5005	
828	-14,4846	
829	-14,4692	
830	-14,4345	
831	-14,4128	
832	-14,3964	
833	-14,3742	
834	-14,3525	
835	-14,3356	
836	-14,3099	
837	-14,2641	
838	-14,1494	
839	-13,9109	
840	-14,1295	
841	-14,2116	
842	-14,2044	
843	-14,1796	
844	-14,1464	
845	-14,1144	
846	-14,0801	
847	-14,0531	
848	-14,0194	
849	-14,0108	
850	-13,9839	
851	-13,9502	
852	-13,9153	
853	-13,8817	
854	-13,8546	
