Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [dB] - Frekv. prenosna funkcija	
557	-8,55974	
558	-8,45178	
559	-8,34515	
560	-8,2309	
561	-8,11867	
562	-7,99851	
563	-7,88012	
564	-7,75992	
565	-7,63369	
566	-7,50845	
567	-7,37406	
568	-7,23699	
569	-7,09018	
570	-6,94071	
571	-6,78792	
572	-6,62979	
573	-6,46828	
574	-6,30223	
575	-6,13439	
576	-5,9601	
577	-5,77923	
578	-5,59462	
579	-5,40207	
580	-5,20273	
581	-4,99694	
582	-4,78266	
583	-4,5614	
584	-4,32409	
585	-4,07487	
586	-3,81368	
587	-3,5419	
588	-3,24989	
589	-2,95143	
590	-2,65032	
591	-2,36635	
592	-2,04393	
593	-1,69673	
594	-1,30578	
595	-0,925019	
596	-0,490315	
597	-0,0434614	
598	0,442072	
599	0,933449	
600	1,48493	
601	2,12871	
602	2,7345	
603	3,45164	
604	4,28059	
605	5,25248	
606	6,17403	
607	7,38423	
608	8,90892	
609	10,4698	
610	12,5478	
611	15,3317	
612	19,0792	
613	23,864	
614	25,6684	
615	18,9755	
616	14,565	
617	11,5047	
618	9,28074	
619	7,4059	
620	6,04805	
621	4,79928	
622	3,44317	
623	2,295	
624	1,45271	
625	0,712001	
626	-0,0558215	
627	-0,907012	
628	-1,58803	
629	-2,17425	
630	-2,84191	
631	-3,46744	
632	-4,05506	
633	-4,60074	
634	-5,08893	
635	-5,67045	
636	-6,18944	
637	-6,6114	
638	-7,08716	
639	-7,56767	
640	-8,04027	
641	-8,49411	
642	-8,89774	
643	-9,35403	
644	-9,78533	
645	-10,1355	
646	-10,5311	
647	-10,9079	
648	-11,2595	
649	-11,6378	
650	-11,9857	
651	-12,3755	
652	-12,7573	
653	-13,092	
654	-13,4796	
655	-13,825	
656	-14,1655	
657	-14,5457	
658	-14,8623	
659	-15,2357	
660	-15,5941	
661	-15,9255	
662	-16,3178	
663	-16,6531	
664	-17,0171	
665	-17,3723	
666	-17,7131	
667	-18,0933	
668	-18,4273	
669	-18,7916	
670	-19,1574	
671	-19,515	
672	-19,8975	
673	-20,2591	
674	-20,6564	
675	-21,0372	
676	-21,4437	
677	-21,8033	
678	-22,2205	
679	-22,643	
680	-23,0576	
681	-23,5075	
682	-23,9155	
683	-24,3587	
684	-24,8153	
685	-25,2872	
686	-25,7837	
687	-26,3238	
688	-26,8489	
689	-27,4024	
690	-27,9746	
691	-28,5978	
692	-29,214	
693	-29,8669	
694	-30,5584	
695	-31,2966	
696	-32,0814	
697	-32,8827	
698	-33,6912	
699	-34,685	
700	-35,7235	
701	-36,9824	
702	-38,4689	
703	-40,1658	
704	-42,1216	
705	-44,6424	
706	-48,085	
707	-53,704	
708	-62,9878	
709	-54,3979	
710	-48,6776	
711	-45,4119	
712	-42,9312	
713	-40,9435	
714	-39,5307	
715	-38,2853	
716	-37,2639	
717	-36,2219	
718	-35,3075	
719	-34,531	
720	-33,8009	
721	-33,2044	
722	-32,6764	
723	-32,1636	
724	-31,5812	
725	-31,1023	
726	-30,6475	
727	-30,2663	
728	-29,9159	
729	-29,5742	
730	-29,2466	
731	-28,8526	
732	-28,4442	
733	-28,0083	
734	-27,6238	
735	-27,3308	
736	-27,0676	
737	-26,861	
738	-26,6244	
739	-26,4244	
740	-26,2117	
741	-25,9899	
742	-25,7697	
743	-25,5649	
744	-25,3641	
745	-25,1572	
746	-24,959	
747	-24,7545	
748	-24,55	
749	-24,3241	
750	-24,0509	
751	-23,7063	
752	-23,3519	
753	-23,0036	
754	-22,8722	
755	-22,9948	
756	-23,0932	
757	-23,0301	
758	-22,9335	
759	-22,8097	
760	-22,7005	
761	-22,5855	
762	-22,4833	
763	-22,3729	
764	-22,2919	
765	-22,1722	
766	-22,0539	
767	-21,9247	
768	-21,8086	
769	-21,6786	
770	-21,5646	
771	-21,4463	
772	-21,3452	
773	-21,2276	
774	-21,1216	
775	-21,012	
776	-20,9123	
777	-20,801	
778	-20,686	
779	-20,6001	
780	-20,5012	
781	-20,4126	
782	-20,3036	
783	-20,2072	
784	-20,1094	
785	-20,0158	
786	-19,909	
787	-19,8118	
788	-19,7228	
789	-19,6199	
790	-19,5328	
791	-19,4443	
792	-19,3508	
793	-19,2581	
794	-19,1799	
795	-19,1053	
796	-19,0431	
797	-18,9745	
798	-18,8792	
799	-18,7839	
800	-18,6936	
801	-18,6015	
802	-18,5152	
803	-18,4419	
804	-18,3608	
805	-18,2723	
806	-18,1717	
807	-18,0828	
808	-18,0139	
809	-17,9329	
810	-17,8404	
811	-17,7586	
812	-17,6804	
813	-17,5973	
814	-17,5251	
815	-17,444	
816	-17,3795	
817	-17,2955	
818	-17,2117	
819	-17,1332	
820	-17,0558	
821	-16,9675	
822	-16,8853	
823	-16,8083	
824	-16,7307	
825	-16,6525	
826	-16,5687	
827	-16,4825	
828	-16,4127	
829	-16,3458	
830	-16,2434	
831	-16,1783	
832	-16,1126	
833	-16,0394	
834	-15,9612	
835	-15,8798	
836	-15,7862	
837	-15,665	
838	-15,3832	
839	-14,786	
840	-15,3061	
841	-15,3769	
842	-15,3229	
843	-15,2501	
844	-15,1668	
845	-15,0779	
846	-14,9995	
847	-14,929	
848	-14,8633	
849	-14,8246	
850	-14,7546	
851	-14,661	
852	-14,5705	
853	-14,4797	
854	-14,3903	
855	-14,3069	
856	-14,2249	
857	-14,1479	
858	-14,0658	
859	-13,9764	
860	-13,8928	
861	-13,8274	
862	-13,7622	
863	-13,6934	
864	-13,6368	
865	-13,5825	
866	-13,5172	
867	-13,4395	
868	-13,3555	
869	-13,2569	
870	-13,1456	
871	-13,0576	
872	-12,9895	
873	-12,9196	
874	-12,8413	
875	-12,758	
876	-12,6774	
877	-12,5892	
878	-12,4983	
879	-12,4097	
880	-12,3197	
881	-12,2289	
882	-12,1362	
883	-12,0486	
884	-11,9477	
885	-11,848	
886	-11,7514	
887	-11,6542	
888	-11,5555	
889	-11,4562	
890	-11,3564	
891	-11,2595	
892	-11,1656	
893	-11,0782	
894	-10,9858	
895	-10,8897	
896	-10,7872	
897	-10,686	
898	-10,5838	
899	-10,4795	
900	-10,3736	
901	-10,2705	
902	-10,1641	
903	-10,0591	
904	-9,94586	
905	-9,83779	
906	-9,72676	
907	-9,61354	
908	-9,49731	
909	-9,37818	
910	-9,25795	
911	-9,13223	
912	-9,01	
913	-8,88514	
914	-8,76126	
915	-8,64276	
916	-8,52534	
917	-8,40615	
918	-8,27288	
919	-8,1318	
920	-7,99263	
921	-7,85403	
922	-7,71423	
923	-7,57136	
924	-7,42077	
925	-7,27086	
926	-7,11823	
927	-6,96012	
928	-6,79765	
929	-6,63468	
930	-6,47123	
931	-6,30526	
932	-6,13425	
933	-5,95863	
934	-5,77692	
935	-5,59683	
936	-5,41296	
937	-5,22197	
938	-5,02184	
939	-4,81353	
940	-4,61664	
941	-4,3825	
942	-4,15876	
943	-3,92659	
944	-3,68539	
945	-3,4368	
946	-3,18578	
947	-2,93079	
948	-2,6733	
949	-2,41083	
950	-2,14205	
951	-1,86056	
952	-1,56262	
953	-1,24549	
954	-0,907592	
955	-0,552098	
956	-0,177302	
957	0,220232	
958	0,636223	
959	1,06178	
960	1,49847	
961	1,9654	
962	2,47015	
963	3,00354	
964	3,56994	
965	4,17852	
966	4,83547	
967	5,55366	
968	6,34145	
969	7,20648	
970	8,1613	
971	9,22616	
972	10,4101	
973	11,7272	
974	13,2001	
975	14,8423	
976	16,6341	
977	18,4697	
978	20,0588	
979	20,8086	
980	19,9203	
981	17,3629	
982	14,6669	
983	12,5259	
984	10,7972	
985	9,38622	
986	8,17912	
987	7,11418	
988	6,15924	
989	5,29576	
990	4,50162	
991	3,76587	
992	3,08592	
993	2,45588	
994	1,86173	
995	1,29753	
996	0,763724	
997	0,269872	
998	-0,190142	
999	-0,643259	
1000	-1,09282	
1001	-1,58283	
1002	-2,30647	
1003	-2,41133	
1004	-2,75825	
1005	-3,13549	
1006	-3,56617	
1007	-4,01835	
1008	-4,42423	
1009	-4,72704	
1010	-4,96255	
1011	-5,26956	
1012	-5,4557	
1013	-5,53185	
1014	-5,76977	
1015	-6,04463	
1016	-6,3321	
1017	-6,61396	
1018	-6,87348	
1019	-7,11611	
1020	-7,36287	
1021	-7,61674	
1022	-7,83281	
1023	-8,07236	
1024	-8,33052	
1025	-8,5788	
1026	-8,79476	
1027	-9,00067	
1028	-9,21431	
1029	-9,42937	
1030	-9,64602	
1031	-9,8617	
1032	-10,0718	
1033	-10,2809	
1034	-10,4851	
1035	-10,6887	
1036	-10,8825	
1037	-11,0763	
1038	-11,2711	
1039	-11,4666	
1040	-11,6508	
1041	-11,843	
1042	-12,0358	
1043	-12,2227	
1044	-12,3894	
1045	-12,5603	
1046	-12,7413	
1047	-12,9097	
1048	-13,069	
1049	-13,2193	
1050	-13,364	
1051	-13,4881	
1052	-13,5939	
1053	-13,682	
1054	-13,7766	
1055	-13,9149	
1056	-14,1167	
1057	-14,3536	
1058	-14,6048	
1059	-14,839	
1060	-15,0576	
1061	-15,2636	
1062	-15,4625	
1063	-15,6697	
1064	-15,9801	
1065	-16,0079	
1066	-16,2071	
1067	-16,4169	
1068	-16,5818	
1069	-16,7655	
1070	-16,9508	
1071	-17,1257	
1072	-17,3101	
1073	-17,4921	
1074	-17,6668	
1075	-17,862	
1076	-18,0481	
1077	-18,2332	
1078	-18,4337	
1079	-18,6212	
1080	-18,8072	
1081	-19,0024	
1082	-19,1908	
1083	-19,3899	
1084	-19,5675	
1085	-19,7055	
1086	-19,8347	
1087	-20,0836	
1088	-20,3211	
1089	-20,48	
1090	-20,6399	
1091	-20,8633	
1092	-21,0913	
1093	-21,3416	
1094	-21,5835	
1095	-21,8169	
1096	-22,0021	
1097	-22,1689	
1098	-22,3154	
1099	-22,5014	
1100	-22,7191	
1101	-22,9703	
1102	-23,2503	
1103	-23,5152	
1104	-23,7519	
1105	-23,977	
1106	-24,2045	
1107	-24,4685	
1108	-24,7697	
1109	-25,0445	
1110	-25,25	
1111	-25,5407	
1112	-25,9	
1113	-26,2609	
1114	-26,5845	
1115	-26,8378	
1116	-27,0523	
1117	-27,3272	
1118	-27,6285	
1119	-27,9972	
1120	-28,4237	
1121	-28,8937	
1122	-29,3067	
1123	-29,7338	
1124	-30,1304	
1125	-30,609	
1126	-31,113	
1127	-31,6913	
1128	-32,1535	
1129	-32,7309	
1130	-33,3044	
1131	-33,8273	
1132	-34,324	
1133	-34,9936	
1134	-35,7922	
1135	-36,765	
1136	-37,8024	
1137	-38,9935	
1138	-40,1966	
1139	-41,6752	
1140	-43,2916	
1141	-45,1242	
1142	-47,6088	
1143	-51,8644	
1144	-58,5783	
1145	-62,2475	
1146	-53,6537	
1147	-48,6399	
1148	-45,8264	
1149	-43,6988	
1150	-41,9045	
1151	-40,4882	
1152	-39,2984	
1153	-38,0677	
1154	-36,9516	
1155	-36,0696	
1156	-35,1954	
1157	-34,3842	
1158	-33,7021	
1159	-33,0449	
1160	-32,4443	
1161	-31,8564	
1162	-31,2934	
1163	-30,784	
1164	-30,2702	
1165	-29,7905	
1166	-29,3604	
1167	-28,9444	
1168	-28,5479	
1169	-28,1689	
1170	-27,8366	
1171	-27,5344	
1172	-27,1708	
1173	-26,7686	
1174	-26,3744	
1175	-26,0371	
1176	-25,7351	
1177	-25,417	
1178	-25,0812	
1179	-24,7455	
1180	-24,4413	
1181	-24,1419	
1182	-23,8257	
1183	-23,528	
1184	-23,2217	
1185	-22,9283	
1186	-22,6611	
1187	-22,3826	
1188	-22,1211	
1189	-21,8549	
1190	-21,5942	
1191	-21,3137	
1192	-21,0336	
1193	-20,7589	
1194	-20,4493	
1195	-20,1295	
1196	-19,8191	
1197	-19,5017	
1198	-19,1705	
1199	-18,8102	
1200	-18,4172	
1201	-17,9656	
1202	-17,4321	
1203	-16,8362	
1204	-16,3211	
1205	-16,1646	
1206	-16,3139	
1207	-16,2853	
1208	-16,0715	
1209	-15,7995	
1210	-15,4712	
1211	-15,1318	
1212	-14,7659	
1213	-14,3876	
1214	-13,963	
1215	-13,5405	
1216	-13,139	
1217	-12,6866	
1218	-12,0819	
1219	-11,5694	
1220	-10,9889	
1221	-10,3218	
1222	-9,94885	
1223	-11,1267	
1224	-10,8281	
1225	-9,27399	
1226	-7,50696	
1227	-5,62633	
1228	-5,5099	
1229	-5,27088	
1230	-4,14275	
1231	-2,76957	
1232	-1,18108	
1233	0,710168	
1234	3,2132	
1235	6,55635	
1236	11,0914	
1237	15,269	
1238	9,62134	
1239	4,72968	
1240	1,49407	
1241	-0,843066	
1242	-2,74229	
1243	-4,28981	
1244	-5,62654	
1245	-6,82384	
1246	-7,88342	
1247	-8,84151	
1248	-9,71562	
1249	-10,5491	
1250	-11,3286	
1251	-12,0539	
1252	-12,7377	
1253	-13,4017	
1254	-14,044	
1255	-14,6515	
1256	-15,2241	
1257	-15,8082	
1258	-16,3536	
1259	-16,8874	
1260	-17,3901	
1261	-17,8827	
1262	-18,3708	
1263	-18,8644	
1264	-19,3426	
1265	-19,8357	
1266	-20,3625	
1267	-20,8823	
1268	-21,3993	
1269	-21,9228	
1270	-22,4706	
1271	-23,0131	
1272	-23,5395	
1273	-24,0643	
1274	-24,5811	
1275	-25,1057	
1276	-25,6463	
1277	-26,1901	
1278	-26,7338	
1279	-27,3055	
1280	-27,8958	
1281	-28,5015	
1282	-29,1318	
1283	-29,8068	
1284	-30,5038	
1285	-31,2462	
1286	-32,041	
1287	-32,8813	
1288	-33,8199	
1289	-34,8277	
1290	-35,9295	
1291	-37,1713	
1292	-38,5197	
1293	-40,0231	
1294	-41,5504	
1295	-43,1891	
1296	-44,824	
1297	-45,791	
1298	-46,157	
1299	-45,6031	
1300	-44,1113	
1301	-42,567	
1302	-41,2032	
1303	-40,106	
1304	-38,9458	
1305	-37,9175	
1306	-37,0503	
1307	-36,1272	
1308	-35,2549	
1309	-34,4873	
1310	-33,7811	
1311	-33,1953	
1312	-32,5761	
1313	-32,002	
1314	-31,5409	
1315	-31,0666	
1316	-30,6566	
1317	-30,2454	
1318	-29,8602	
1319	-29,5159	
1320	-29,1967	
1321	-28,9379	
1322	-28,6653	
1323	-28,4007	
1324	-28,0938	
1325	-27,7599	
1326	-27,4445	
1327	-27,1471	
1328	-26,8501	
1329	-26,6251	
1330	-26,3689	
1331	-26,1487	
1332	-25,9412	
1333	-25,7295	
1334	-25,4957	
1335	-25,2629	
1336	-25,032	
1337	-24,7631	
1338	-24,5087	
1339	-24,2485	
1340	-24,0062	
1341	-23,8205	
1342	-23,7561	
1343	-23,877	
1344	-24,2224	
1345	-24,637	
1346	-24,7695	
1347	-24,5209	
1348	-24,095	
1349	-23,7298	
1350	-23,4329	
1351	-23,1741	
1352	-22,9401	
1353	-22,7275	
1354	-22,5344	
1355	-22,3695	
1356	-22,2014	
1357	-22,0454	
