Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [m/s^2/N] - Frekv. prenosna funkcija	
631	-13,6393	
632	-13,594	
633	-13,5236	
634	-13,6276	
635	-13,5897	
636	-13,52	
637	-13,4626	
638	-13,412	
639	-13,3658	
640	-13,3256	
641	-13,2777	
642	-13,2357	
643	-13,1908	
644	-13,1456	
645	-13,0972	
646	-13,0516	
647	-13,0066	
648	-12,962	
649	-12,9175	
650	-12,8746	
651	-12,8292	
652	-12,7861	
653	-12,74	
654	-12,6906	
655	-12,6472	
656	-12,5997	
657	-12,549	
658	-12,5056	
659	-12,4591	
660	-12,4122	
661	-12,3629	
662	-12,3134	
663	-12,2665	
664	-12,2168	
665	-12,1688	
666	-12,1171	
667	-12,0686	
668	-12,0198	
669	-11,9726	
670	-11,924	
671	-11,874	
672	-11,8242	
673	-11,775	
674	-11,7224	
675	-11,6727	
676	-11,621	
677	-11,5746	
678	-11,5208	
679	-11,4746	
680	-11,4238	
681	-11,375	
682	-11,3224	
683	-11,2704	
684	-11,2199	
685	-11,1719	
686	-11,118	
687	-11,069	
688	-11,019	
689	-10,9722	
690	-10,9233	
691	-10,8774	
692	-10,8163	
693	-10,7703	
694	-10,7152	
695	-10,6576	
696	-10,603	
697	-10,5469	
698	-10,4974	
699	-10,4449	
700	-10,3932	
701	-10,3429	
702	-10,2906	
703	-10,2407	
704	-10,1898	
705	-10,1366	
706	-10,0839	
707	-10,0333	
708	-9,98127	
709	-9,93002	
710	-9,87576	
711	-9,82455	
712	-9,77215	
713	-9,71968	
714	-9,67082	
715	-9,61511	
716	-9,56158	
717	-9,51037	
718	-9,45671	
719	-9,40548	
720	-9,35306	
721	-9,3011	
722	-9,24969	
723	-9,19174	
724	-9,14018	
725	-9,08856	
726	-9,03272	
727	-8,98098	
728	-8,92518	
729	-8,87207	
730	-8,81692	
731	-8,76006	
732	-8,70787	
733	-8,65288	
734	-8,60017	
735	-8,54729	
736	-8,49261	
737	-8,43466	
738	-8,37693	
739	-8,31957	
740	-8,26492	
741	-8,20728	
742	-8,14987	
743	-8,09464	
744	-8,0383	
745	-7,97851	
746	-7,92087	
747	-7,86203	
748	-7,80067	
749	-7,74022	
750	-7,6782	
751	-7,61659	
752	-7,559	
753	-7,49565	
754	-7,43872	
755	-7,3832	
756	-7,33026	
757	-7,27179	
758	-7,20441	
759	-7,13212	
760	-7,06567	
761	-6,99762	
762	-6,93191	
763	-6,8678	
764	-6,79717	
765	-6,72777	
766	-6,65909	
767	-6,58999	
768	-6,52161	
769	-6,44597	
770	-6,37498	
771	-6,30282	
772	-6,23019	
773	-6,15467	
774	-6,07839	
775	-6,00259	
776	-5,92355	
777	-5,84525	
778	-5,76772	
779	-5,68448	
780	-5,60018	
781	-5,51557	
782	-5,43176	
